order_id,order_date,customer_id,customer_region,product_id,product_name,category,unit_price,quantity,total_amount,payment_method,customer_rating
2001,2024-12-25,588,East,4001,Ceramic Vase,Home Goods,25.00,2,50.00,Apple Pay,2
1016,2025-01-19,561,North,2003,Laptop B,Electronics,799.99,1,799.99,Cash on Delivery,3.00
1017,2025-01-08,587,North,2005,Smartwatch C,Electronics,199.99,2,399.98,Credit Card,2.00
1018,2024-04-22,555,North,4005,Floor Rug,Home Goods,120.00,1,120.00,,2.00
1019,2025-01-19,501,North,3001,Men's T-Shirt,Clothing,19.99,4,79.96,PayPal,
1020,2024-10-20,597,East,3005,Baseball Cap,Clothing,14.99,3,44.97,Cash on Delivery,1.00
1021,2025-02-06,603,South,4002,Table Lamp,Home Goods,35.50,4,142.00,Apple Pay,4.00
1022,2025-04-17,530,East,3005,Baseball Cap,Clothing,14.99,3,44.97,Cash on Delivery,4.00
1023,2024-01-02,604,East,2004,Bluetooth Speaker,Electronics,59.99,1,59.99,Apple Pay,3.00
1024,2024-07-26,605,West,3002,Women's Jeans,Clothing,49.99,4,199.96,Credit Card,
1025,2024-09-10,588,South,2004,Bluetooth Speaker,Electronics,59.99,1,59.99,PayPal,2.00
1026,2024-06-09,513,North,4005,Floor Rug,Home Goods,120.00,3,360.00,Credit Card,1.00
1027,2024-01-22,537,East,2002,Wireless Headphones,Electronics,89.99,3,269.97,PayPal,3.00
1028,2025-04-25,560,West,4001,Ceramic Vase,Home Goods,25.00,4,100.00,Cash on Delivery,
1029,2024-02-15,606,South,2003,Laptop B,Electronics,799.99,1,799.99,Apple Pay,5.00
1030,2024-04-25,584,West,4004,Throw Pillow,Home Goods,18.99,1,18.99,Apple Pay,3.00
1031,2024-11-18,523,East,4003,Coffee Maker,Home Goods,49.99,2,99.98,Cash on Delivery,2.00
1032,2024-04-13,542,East,4003,Coffee Maker,Home Goods,49.99,1,49.99,PayPal,2.00
1033,2025-05-20,535,North,2003,Laptop B,Electronics,799.99,4,3199.96,,4.00
1034,2024-02-20,562,East,2003,Laptop B,Electronics,799.99,2,1599.98,,
1035,2024-02-23,596,West,2002,Wireless Headphones,Electronics,89.99,4,359.96,Apple Pay,4.00
1036,2024-12-15,554,West,2001,Smartphone A,Electronics,299.99,2,599.98,Apple Pay,2.00
1037,2024-02-27,589,North,3001,Men's T-Shirt,Clothing,19.99,3,59.97,Cash on Delivery,1.00
1038,2024-04-05,547,North,2004,Bluetooth Speaker,Electronics,59.99,1,59.99,Credit Card,5.00
1039,2024-09-03,525,West,4001,Ceramic Vase,Home Goods,25.00,1,25.00,PayPal,1.00
1040,2024-04-03,607,West,2002,Wireless Headphones,Electronics,89.99,4,359.96,Apple Pay,2.00
1041,2024-09-10,522,East,3003,Jacket Unisex,Clothing,59.99,2,119.98,Credit Card,
1042,2025-03-17,568,North,4005,Floor Rug,Home Goods,120.00,2,240.00,Credit Card,4.00
1043,2025-01-14,560,South,4003,Coffee Maker,Home Goods,49.99,1,49.99,Apple Pay,3.00
1044,2024-10-11,594,East,3001,Men's T-Shirt,Clothing,19.99,1,19.99,Cash on Delivery,2.00
1045,2025-02-21,506,West,3004,Sneakers D,Clothing,79.99,1,79.99,,5.00
1046,2025-01-28,523,West,4005,Floor Rug,Home Goods,120.00,1,120.00,Cash on Delivery,4.00
1047,2024-07-08,511,North,4001,Ceramic Vase,Home Goods,25.00,1,25.00,Cash on Delivery,1.00
1048,2024-12-07,518,North,2004,Bluetooth Speaker,Electronics,59.99,1,59.99,Cash on Delivery,4.00
1049,2025-05-20,568,South,2001,Smartphone A,Electronics,299.99,4,1199.96,Cash on Delivery,5.00
1050,2024-04-18,608,East,4005,Floor Rug,Home Goods,120.00,2,240.00,Cash on Delivery,2.00
1051,2024-01-09,609,West,2002,Wireless Headphones,Electronics,89.99,1,89.99,PayPal,5.00
1052,2024-07-12,536,East,4005,Floor Rug,Home Goods,120.00,4,480.00,Apple Pay,5.00
1053,2024-08-04,535,East,4003,Coffee Maker,Home Goods,49.99,3,149.97,Credit Card,4.00
1054,2024-02-08,544,North,3005,Baseball Cap,Clothing,14.99,4,59.96,PayPal,2.00
1055,2024-01-01,591,East,2003,Laptop B,Electronics,799.99,3,2399.97,Apple Pay,
